Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430873/,Балашиха,sale,flat,12,17,1,36.4,-1,0,6027360,, Поликахина,2,Лухмановская,Центр-2
Этажи Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/308583683/,Балашиха,sale,flat,19,20,2,68.8,-1,0,12000000,,шоссе Косинское,5/7,Ольгино,Новоград Павлино
Александр Кубышев,realtor,https://balashikha.cian.ru/sale/flat/305822096/,Балашиха,sale,flat,2,16,1,32.0,-1,0,4900000,, Октябрьская,17,Железнодорожная,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308722035/,Балашиха,sale,flat,20,22,1,33.9,-1,0,6089457,,,к6,Некрасовка,Новоград Павлино
ID 118582271,homeowner,https://balashikha.cian.ru/sale/flat/308939146/,Балашиха,sale,flat,10,17,2,52.2,-1,0,9890000,, Свердлова,50,Щёлковская,
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/303023571/,Балашиха,sale,flat,4,5,1,30.3,-1,0,3899000,,шоссе Энтузиастов,57,Салтыковская,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430713/,Балашиха,sale,flat,12,17,1,37.3,-1,0,6108630,,проспект Героев,12,Лухмановская,Центр-2
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/301385242/,Балашиха,sale,flat,5,10,2,66.0,-1,0,9249000,, Карбышева,1,Кучино,
Елена Петрова,realtor,https://balashikha.cian.ru/sale/flat/308757392/,Балашиха,sale,flat,2,22,1,34.3,-1,0,5300000,, Романычева,1,Ольгино,Новоград Павлино
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430769/,Балашиха,sale,flat,12,17,2,57.8,-1,0,8556280,, Поликахина,2,Лухмановская,Центр-2
Этажи Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/307869945/,Балашиха,sale,flat,19,25,1,36.3,-1,0,5300000,, Яганова,9,Щёлковская,Пехра
Светлана Крамлих,realtor,https://balashikha.cian.ru/sale/flat/308485213/,Балашиха,sale,flat,9,14,1,39.0,-1,0,5300000,, Майкла Лунна,5,Щёлковская,
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/296483363/,Балашиха,sale,flat,17,17,1,31.7,-1,0,6498500,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
ID 16079413,homeowner,https://balashikha.cian.ru/sale/flat/306373203/,Балашиха,sale,flat,11,17,2,64.0,-1,0,9549000,,проспект Ленина,74,Салтыковская,Жемчужина Виктории
Веста,real_estate_agent,https://balashikha.cian.ru/sale/flat/300865948/,Балашиха,sale,flat,3,5,2,44.0,-1,0,4850000,, Калинина,9,Железнодорожная,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430932/,Балашиха,sale,flat,2,17,1,36.7,-1,0,6304370,, Поликахина,2,Лухмановская,Центр-2
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/306785132/,Балашиха,sale,flat,3,20,1,47.3,-1,0,6499999,, Чистопольская,28,Щёлковская,Эдельвейс-Комфорт
Брусника Обмен,real_estate_agent,https://balashikha.cian.ru/sale/flat/306522543/,Балашиха,sale,flat,12,17,1,36.0,-1,0,5750000,,шоссе Косинское,6,Ольгино,Новоград Павлино
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430905/,Балашиха,sale,flat,12,17,2,51.6,-1,0,8079760,, Поликахина,2,Лухмановская,Центр-2
Иван Музалевский,realtor,https://balashikha.cian.ru/sale/flat/301875482/,Балашиха,sale,flat,7,16,1,42.3,-1,0,7250000,, Юбилейная,4к5,Железнодорожная,
Вариант,real_estate_agent,https://balashikha.cian.ru/sale/flat/308627087/,Балашиха,sale,flat,1,18,1,32.1,-1,0,4850000,, Лесопарковая,18,Железнодорожная,
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/289976892/,Балашиха,sale,flat,10,17,2,52.7,-1,0,10171100,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/304384217/,Балашиха,sale,flat,14,17,1,45.3,-1,0,7349000,, Твардовского,26,Кучино,
ID 408732,homeowner,https://balashikha.cian.ru/sale/flat/307038585/,Балашиха,sale,flat,5,25,1,33.7,-1,0,5400000,,Балашихинское шоссе,12,Щёлковская,Лесной городок
